commune_code,quartier,region,departement,milieu_residence,nb_enfants_0_4,nb_enfants_5_15,nb_adultes_H,nb_adultes_F,taille_menage,statut_occupation,type_habitat,proxy_niveau_vie,proxy_niveau_vie_label,cm_sexe,cm_age,cm_tranche_age,repondant_statut,repondant_est_cm,cm_branche_etudes,cm_niveau_etudes,cm_alpha_francais,cm_alpha_anglais,cm_alpha_arabe,cm_alpha_lng_nat,cm_est_alphabetise,cm_situation_matrimoniale,cm_statut_emploi,cm_secteur_emploi,cm_revenu,src__v1,src__v2,src__v3,src__v4,src__v5,src__v6,src__v7,sources_dechets_liste,nb_sources_dechets,nat__v8,nat__v9,nat__v10,nat__v11,nat__v12,nat__v13,nat__v14,nat__v15,nat__v16,nat__v17,natures_dechets_liste,nb_natures_dechets,mode_stockage,stockage_couvert,place_stockage,capacite_stockage_suffisante,tri_avant_evacuation,revente_dechets,types_revendus_liste,raison_non_revente,proportion_traitee_soi,traitement_enfouissement,traitement_incineration,traitement_recyclage,traitement_compostage,au_moins_un_traitement,acces_benne_tasseuse,benne_service_principal,benne_point_distance,benne_point_nettoyage,benne_heure_convient,benne_frequence,satisfaction_benne,service_alternatif_type,service_alternatif_raison,a_service_alternatif,service_evacuation_payant,montant_evacuation_tranche,frequence_paiement,montant_mensuel_evacuation_fcfa,responsable_evacuation,existence_bacs_quartier,satisfaction_bacs_quartier,corbeilles_rue_presentes,satisfaction_corbeilles_disposition,satisfaction_corbeilles_qualite,acces_depotoire_normalise,depot_sauvage_rue,eaux_usees_rue,depot_sauvage_observe,dernier_depot_sauvage,contact_autorites_depot,satisfaction_reaction_autorites,nuisible__v23,nuisible__v24,nuisible__v25,nuisible__v26,nuisible__v27,nuisible__v28,nuisible__v29,nuisibles_liste,nb_nuisibles,service_balayage_rues,satisfaction_balayage,operations_nettoyage_quartier,place_publique_presence,place_publique_gestionnaire,place_publique_salubrite,marche_present,marche_gestionnaire,marche_gestion_qualite,connait_UCG,campagne_sensibilisation,satisfaction_sensibilisation,duree_quartier_sup_1mois,maladie__v30,maladie__v31,maladie__v32,maladie__v33,maladie__v34,maladie__v35,maladie__v36,maladie__v37,maladie__v38,maladies_declarees_liste,nb_maladies_declarees,aucune_maladie,nb_types_maladies_menage,maladie_potentiellement_liee_dechets,perception_risque_sanitaire,suggestions_amelioration
8,Grand dakar,,,,2,0,8,3,13.0,Propriétaire,Appartement,2,Moyen-haut,Homme,67,60 ans et plus,Fils/Fille du CM,Non,Coranique / Daara,,Non,Non,Non,Non,Non,,,,,1,0,0,0,0,0,0,Consommation alimentaire / cuisine,1,0,0,1,0,0,0,0,0,0,0,Restes d'aliments,1,Poubelle avec couvercle,Oui,Autre endroit extérieur,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, rarement","Oui, très souvent","Oui, rarement",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Non,,,,,,Oui,Non,,1 mois et plus,0,0,1,0,0,0,0,0,0,Rhume,1,0,1,Non,,Designer dans chaque quartier au moins des responsable qui veillent aux ordures
8,Niakh diariniou,,,,0,0,10,6,16.0,Propriétaire,Appartement,2,Moyen-haut,Homme,75,60 ans et plus,Fils/Fille du CM,Non,Aucun,Supérieur,Oui,Non,Oui,Oui,Oui,,,,,1,0,1,0,0,0,0,Consommation alimentaire / cuisine | Élevage,2,0,0,1,0,0,0,0,1,0,0,Restes d'aliments | Excréments d'animaux,2,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Oui,Non,,,,,,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,Se rapprocher des OCB
8,Grand Dakar,,,,5,6,10,5,26.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Femme,60,60 ans et plus,Conjoint(e) du CM,Non,Aucun,Supérieur,Oui,Oui,Non,Non,Oui,,,,,0,1,0,0,0,0,0,Gestion foyer hors alimentation,1,0,1,0,0,0,0,0,0,0,0,Papier / Carton,1,Poubelle avec couvercle,Oui,Dans la cour,Oui,Oui,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Ne sait pas,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Oui,Non,,,,,,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,Auto venir matin et soir
8,Grand dakar,,,,2,3,7,7,19.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Femme,85,60 ans et plus,Conjoint(e) du CM,Non,Aucun,Supérieur,Oui,Non,Non,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,0,1,0,0,0,0,0,0,0,Plastiques | Restes d'aliments,2,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Non,,,,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,Après midi s il y avait des voitures sa serai mieu
10,Yarakh HANN 3,,,,1,4,7,3,15.0,Propriétaire,Appartement,2,Moyen-haut,Femme,52,45-59 ans,Fils/Fille du CM,Non,Aucun,Primaire,Oui,Non,Non,Oui,Oui,,,,,1,1,1,1,1,1,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement | Commerce / activités productives,6,1,1,1,1,0,0,0,1,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Excréments d'animaux,5,Poubelle sans couvercle,Non,Dans la cour,Non,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, rarement","Non, jamais","Non, jamais",,,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Non,Oui,Mairie,Pas satisfait / Mauvais,Oui,UCG,Pas satisfait / Mauvais,Oui,Non,,1 mois et plus,1,0,1,0,0,0,1,0,1,Fièvre | Rhume | Démangeaisons | Autre maladie,4,0,4,Oui,,La mairie prend ses responsabilités.
10,Yarakh HANN 3,,,,4,1,6,10,21.0,Propriétaire,Appartement,2,Moyen-haut,Homme,68,60 ans et plus,Conjoint(e) du CM,Non,Français,,Non,Non,Non,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,1,1,1,0,1,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Déchets verts,5,Poubelle sans couvercle,Non,Devant la maison / entrée,Non,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Non,Oui,Mairie,Pas satisfait / Mauvais,Oui,UCG,Pas satisfait / Mauvais,Oui,Non,,1 mois et plus,0,1,0,0,0,0,0,0,0,Asthme,1,0,1,Oui,,Augmenter la propreté du quartier.
10,Yarakh HANN 3,,,,0,0,3,2,5.0,Propriétaire,Appartement,2,Moyen-haut,Homme,75,60 ans et plus,Petit-fils/Petite-fille,Non,Aucun,Supérieur,Oui,Oui,Oui,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,0,0,0,1,0,0,0,0,Plastiques | Papier / Carton | Déchets verts,3,Poubelle avec couvercle,Oui,Dans la cour,Oui,Oui,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Oui,Satisfait / Bon,Satisfait / Bon,Oui,"Non, jamais","Non, jamais","Oui, rarement",,,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Non,Non,,,,,,Oui,Non,,1 mois et plus,0,0,1,1,1,0,0,0,0,Rhume | Sinusite | Toux,3,0,3,Oui,,Concrétiser les enquêtes.
10,Yarakh HANN 3,,,,3,2,3,3,11.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,99,60 ans et plus,Employé(e) de maison,Non,Aucun,Supérieur,Oui,Non,Non,Oui,Oui,,,,,1,1,1,1,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement,5,1,1,1,1,0,0,0,1,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Excréments d'animaux,5,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Oui,Satisfait / Bon,Satisfait / Bon,Oui,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Moins de 2 jours,Non,,0,1,1,0,0,0,0,Mouches | Cafards,2,,,Oui,Non,,,,,,Non,Non,,1 mois et plus,0,1,0,0,0,0,0,0,0,Asthme,1,0,1,Oui,,Trouver des poubelles où mettre les ordures.
10,HANN 3,,,,1,0,5,6,12.0,Logé par un tiers,Appartement,1,Moyen-bas,Homme,50,45-59 ans,Conjoint(e) du CM,Non,Aucun,Primaire,Oui,Non,Non,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,1,1,0,0,1,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Métal,5,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,,,Oui,Non,,,,,,Non,Non,,1 mois et plus,0,1,0,0,0,1,0,0,0,Asthme | Nausées / Vomissements,2,0,2,Oui,,Déployé des bacs à ordure.
10,Yarakh HANN 3,,,,1,2,4,3,10.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,60,60 ans et plus,Conjoint(e) du CM,Non,Français,,Non,Non,Non,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,1,0,0,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments,3,Coin de la cour / à même le sol,Non,Autre,Non,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Oui,Satisfait / Bon,Très satisfait / Très bon,Oui,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,1,0,1,0,0,Moustiques | Mouches | Cafards | Vers,4,,,Oui,Non,,,,,,Non,Non,,1 mois et plus,1,1,1,1,1,1,0,0,0,Fièvre | Asthme | Rhume | Sinusite | Toux | Nausées / Vomissements,6,0,6,Oui,,Mettre des poubelles dans le quartier.
10,HANN 3,,,,0,3,6,10,19.0,Propriétaire,Appartement,2,Moyen-haut,Femme,43,35-44 ans,Frère/Sœur du CM,Non,Aucun,Primaire,Non,Non,Non,Oui,Oui,,,,,1,0,0,0,1,1,0,Consommation alimentaire / cuisine | Entretien du logement | Commerce / activités productives,3,1,1,1,0,1,1,1,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets électroménagers | Déchets verts | Métal | Médicaments,7,Poubelle avec couvercle,Oui,Devant la maison / entrée,Oui,Oui,Non,,Pas intéressé,Une partie,Non,Non,Non,Oui (partie),Oui,Occasionnellement,,,,,,,,,Non,,,,0.0,,Oui,Très satisfait / Très bon,Oui,Pas du tout satisfait / Très mauvais,,Oui,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Plus de 7 jours,Non,,1,1,0,1,1,1,0,Moustiques | Mouches | Souris | Vers | Rats,5,,,Oui,Oui,Association de quartier,Très satisfait / Très bon,Oui,UCG,Pas satisfait / Mauvais,Oui,Non,,1 mois et plus,1,1,0,0,1,0,0,0,0,Fièvre | Asthme | Toux,3,0,3,Oui,,Payer des gens assez suffisant pour assurer le nettoyage du quartier
10,HANN CAPA,,,,1,0,2,3,6.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Femme,58,45-59 ans,Chef de ménage,Oui,Français,,Non,Non,Non,Oui,Oui,,,,,1,1,0,0,1,1,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement | Commerce / activités productives,4,1,1,1,0,1,1,1,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets électroménagers | Déchets verts | Métal | Médicaments,7,Coin de la cour / à même le sol,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Plus de 7 jours,Non,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Oui,Non,,,,,,Oui,Oui,Non,1 mois et plus,0,0,0,0,0,1,0,0,0,Nausées / Vomissements,1,0,1,Oui,,RIEN À DIRE
10,YANN BEL AIR,,,,7,6,4,4,21.0,Propriétaire,Villa / Maison individuelle,2,Moyen-haut,Homme,99,60 ans et plus,Fils/Fille du CM,Non,Franco-arabe,Primaire,Non,Non,Oui,Oui,Oui,,,,,1,0,0,0,1,0,0,Consommation alimentaire / cuisine | Entretien du logement,2,1,1,1,0,1,1,1,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets électroménagers | Déchets verts | Métal | Médicaments,7,Poubelle sans couvercle,Non,Devant la maison / entrée,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Oui,Pas du tout satisfait / Très mauvais,,Oui,"Oui, rarement","Non, jamais","Non, jamais",,,,1,1,1,0,0,1,0,Moustiques | Mouches | Cafards | Rats,4,,,Oui,Oui,Opérateur privé,Très satisfait / Très bon,Oui,UCG,Très satisfait / Très bon,Oui,Oui,Oui,1 mois et plus,1,1,0,0,0,0,0,0,0,Fièvre | Asthme,2,0,2,Oui,,"ORGANISER DES FÊTES, DÎNER, MATCH POUR REGROUPER LES GENS GENS DU QUARTIER AFIN DE LES ENCOURAGER"
10,YANN 3,,,,4,5,3,3,15.0,Logé par un tiers,Villa / Maison individuelle,1,Moyen-bas,Femme,45,45-59 ans,Chef de ménage,Oui,Franco-arabe,Primaire,Oui,Non,Oui,Oui,Oui,,,,,1,1,1,0,1,1,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage | Entretien du logement | Commerce / activités productives,5,1,1,1,0,1,1,0,1,0,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets électroménagers | Déchets verts | Excréments d'animaux,6,Coin de la cour / à même le sol,Non,Devant la maison / entrée,Oui,Oui,Non,,Pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Oui,Très satisfait / Très bon,Oui,Pas du tout satisfait / Très mauvais,,Oui,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Plus de 7 jours,Non,,1,1,0,0,1,0,0,Moustiques | Mouches | Vers,3,,,Oui,Oui,Opérateur privé,Très satisfait / Très bon,Oui,Aucun gestionnaire identifié,Satisfait / Bon,Non,Oui,Non,1 mois et plus,1,1,1,0,0,0,0,0,0,Fièvre | Asthme | Rhume,3,0,3,Oui,,AUGMENTE LE SERVICE
